timeAdapting,timeNonAdapting,timeOffline,timeAdaptingEmpty,quadraticAdapting,quadraticNonAdapting,quadraticOffline,quadraticAdaptingEmpty,correctAdapting,correctNonAdapting,correctOffline,correctAdaptingEmpty
329713.05,143421.25,175512.35,156285.25,0.7947588742827065,0.7954156232590321,0.7015319554775488,1.520938334262759,0.25,0.25,0.25,0.19999999999999996
28388.0,80857.95,28497.8,67281.0,0.27464527332631405,0.2751768389462086,0.2190440490085166,0.25524943417348384,0.7,0.7,0.8,0.85
30883.95,35025.45,68323.4,79020.25,0.6713549498090288,0.6720931254894822,0.6559107236753334,1.2813867743144463,0.35,0.35,0.44999999999999996,0.35
36177.55,29018.85,34888.5,44351.2,0.6109531790134497,0.6119851254334208,0.5981833541882224,0.6087762908486107,0.4,0.4,0.44999999999999996,0.55
30829.1,27784.65,29018.95,53100.9,0.7052731633884832,0.7054816749296151,0.6956074920017272,1.1770607930375263,0.35,0.35,0.4,0.30000000000000004
27647.4,48520.45,28278.4,29594.85,0.47388115726062097,0.47401607170468196,0.46917263316572644,0.6447887544927653,0.65,0.65,0.65,0.65
32968.45,28607.3,26385.8,25206.25,0.4567281403578818,0.45687230909243226,0.43531770270783454,0.43966413585440023,0.65,0.65,0.65,0.6
27345.8,48465.4,38728.6,33297.65,0.4683397485059686,0.4691224238486029,0.383091422932921,0.3482408280492564,0.6,0.6,0.75,0.65
26111.55,26166.55,28415.55,25261.45,0.48659239243716,0.48662368673831224,0.48247691709548235,0.741910209908383,0.6,0.6,0.6,0.44999999999999996
47615.2,28936.75,60835.5,28470.35,0.48177937063155696,0.4821657316060737,0.44612066878471524,0.5277533872558706,0.55,0.55,0.6,0.44999999999999996
34449.55,40676.0,25919.6,69228.45,0.33213315421016887,0.332696201861836,0.29507939383620396,0.2329858961629725,0.75,0.75,0.8,0.75
31487.3,44049.55,30115.9,25864.75,0.4896350894414354,0.49046508673927747,0.4310613574052695,0.4589243573054773,0.5,0.5,0.6,0.6
26824.85,27099.05,29540.15,25837.2,0.39509249583352357,0.3948164712928701,0.4097983205865603,0.5041661308375751,0.75,0.75,0.65,0.6
32529.6,32529.65,27455.5,43912.3,0.6035610908875242,0.6049773836275563,0.5433739142026752,0.4260613157766784,0.5,0.5,0.6,0.7
27153.9,27126.15,27784.75,32694.4,0.5712252518278547,0.5717724143760279,0.5550617965345737,0.5127436361320563,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.5
26468.2,53704.3,35053.25,34449.65,0.42941893119132146,0.4303647240740247,0.40755840530619025,0.3590764802739841,0.65,0.65,0.7,0.7
47862.05,43034.65,28004.15,24877.35,0.47735609352821484,0.4784991173655726,0.4507946213125251,0.47370082212773923,0.6,0.6,0.65,0.5
27318.35,28004.25,32118.3,29128.65,0.531802355311811,0.5329788848175667,0.48303223587572575,0.38277828254473434,0.55,0.55,0.6,0.65
28772.1,40484.0,28771.9,28305.85,0.43225548771442845,0.432937863166444,0.40089458457077853,0.36617268103043443,0.65,0.6,0.7,0.7
35327.45,26961.65,43226.55,30225.8,0.5818016899866052,0.5842933693784289,0.5101521274191327,0.4216315967926221,0.5,0.5,0.65,0.7
32365.2,73479.75,33709.05,49891.8,0.5936241077724844,0.5944284386350773,0.5666542144608684,0.5525100656848281,0.55,0.55,0.6,0.5
47450.6,26523.0,29924.05,25563.0,0.5094872578047216,0.5106490174657665,0.4776613749563694,0.5632827515859683,0.6,0.6,0.6,0.5
28059.0,29210.95,27126.4,25069.45,0.5131467694009189,0.515817582665477,0.4429347068653442,0.4424730572718545,0.55,0.55,0.7,0.6
1345566.9,29018.85,25837.2,29622.2,0.599916165752802,0.6022673521656543,0.5450875801907387,0.4278551415787888,0.55,0.55,0.6,0.55
27071.45,26934.4,26632.75,27976.7,0.572174126340542,0.5743554808432236,0.5199094103300013,0.4766142086500622,0.5,0.5,0.65,0.6
27784.8,27400.7,27181.1,26221.35,0.8813944085704861,0.8823455048045616,0.8577150173468908,0.9944533123361083,0.4,0.4,0.4,0.44999999999999996
49480.35,26989.2,28168.65,31898.95,0.5780084892758168,0.5809649039292708,0.5142635149531998,0.5563557737024283,0.55,0.55,0.65,0.6
26221.3,26248.65,34340.05,30225.75,0.7763451297651045,0.7806732182507403,0.6935413870960474,0.7679022039922074,0.25,0.25,0.35,0.35
30856.45,45503.3,37192.35,27921.8,0.4488844801671803,0.4499862318043597,0.43188537523383275,0.46878574214701985,0.65,0.65,0.65,0.55
26989.1,32365.05,27181.15,65169.05,0.48972770967520773,0.49024445534450933,0.4832334919774439,0.49187828635922415,0.65,0.65,0.65,0.6
31734.2,26961.8,40785.55,28168.65,0.621087274281308,0.6227444492978975,0.5913120276527479,0.44226583823910914,0.5,0.5,0.5,0.65
26797.3,30335.4,39167.25,27181.25,0.5345746796811,0.5373856895021163,0.49799513356992975,0.5388320970228051,0.5,0.5,0.55,0.65
38618.75,40209.55,31844.1,26056.8,0.7194154800090473,0.7242723176605068,0.6406362728157546,0.5384074201379008,0.44999999999999996,0.44999999999999996,0.55,0.55
31130.9,35738.85,28662.2,38646.1,0.6565177799558342,0.6601998733865457,0.6003159230351116,0.6215675180519611,0.4,0.4,0.5,0.55
27400.6,30993.6,42156.85,29293.15,0.6283375174971297,0.634893954382278,0.5220617476443294,0.35212545458898603,0.4,0.4,0.6,0.7
26550.45,28854.35,28689.75,40785.45,0.7275930234666248,0.7276158346019201,0.730150033379914,0.8487885077265673,0.4,0.4,0.30000000000000004,0.4
30390.35,27345.95,36479.55,28442.95,0.5432842587179039,0.5465197315206751,0.4969627609534655,0.4972663361090781,0.5,0.5,0.55,0.5
31460.0,26248.6,35107.9,25206.35,0.4907658184238244,0.49198754187091254,0.48180278489599004,0.58394876523721,0.6,0.6,0.6,0.55
26358.35,51948.8,26605.3,24685.35,0.23886008124100044,0.23894640058279037,0.24098025399143808,0.23218927130028533,0.8,0.8,0.8,0.8
26714.9,28086.35,26632.75,26961.8,0.5908493739552796,0.5931558232405223,0.5530447532364633,0.5649475162338149,0.5,0.5,0.5,0.55
27373.2,27373.3,27153.9,26221.25,0.5252266980533022,0.527438712248113,0.49699231976410374,0.49002512102197215,0.65,0.65,0.6,0.55
36040.55,44543.25,44077.1,55788.7,0.8143394837697997,0.8138193098111515,0.8185079076097281,1.043227147659536,0.30000000000000004,0.30000000000000004,0.35,0.30000000000000004
27784.6,32694.15,29759.5,29183.5,0.425736109551508,0.42643795657204464,0.4200649433187209,0.4564968770930591,0.65,0.65,0.65,0.65
28744.75,25672.7,29649.85,24246.45,0.4799778573215008,0.48573009902611375,0.41773797682253644,0.39256969352572924,0.6,0.6,0.7,0.65
34833.6,26797.15,34257.55,25014.6,0.5716771613518006,0.5777914506422235,0.4999194971721721,0.592347114169226,0.4,0.4,0.5,0.55
