timeAdapting,timeNonAdapting,timeOffline,timeAdaptingEmpty,quadraticAdapting,quadraticNonAdapting,quadraticOffline,quadraticAdaptingEmpty,correctAdapting,correctNonAdapting,correctOffline,correctAdaptingEmpty
187882.35,2221.6,2166.8,1810.5,0.48628570046275854,0.4864034513011575,0.4864450814202428,0.5065096691250801,0.65,0.65,0.65,0.44999999999999996
2221.7,1947.4,1865.35,1947.25,0.3293605549260974,0.32984733395278454,0.27361990604549646,0.6395363062620163,0.85,0.85,0.85,0.55
1316.4,1481.2,1536.05,1261.7,0.4529103548761668,0.450010638111479,0.40981205023126677,0.7310978882014751,0.7,0.7,0.75,0.4
1453.55,1261.85,1289.15,1152.1,0.312297560274601,0.31184690445661545,0.32061722688376904,0.6689229775220156,0.85,0.85,0.85,0.44999999999999996
1481.15,1343.9,1371.5,1124.6,0.3074201530311029,0.3073269830879042,0.2779507028462831,0.7477714400738478,0.8,0.8,0.75,0.6
1344.0,1261.8,1234.3,932.6,0.2671276396140456,0.26705031655728817,0.2809090483933687,0.6486811004579067,0.75,0.75,0.7,0.6
1371.3,1234.3,1289.2,1124.4,0.28319171257317066,0.2837563119828701,0.2266915300861001,0.6791544780135155,0.8,0.8,0.8,0.55
1343.9,1261.75,1124.6,1069.55,0.4608232192695141,0.4623785950243473,0.40575588308274746,0.8190044946968555,0.7,0.65,0.7,0.35
1453.65,1316.6,1316.45,1042.2,0.35932339169085026,0.35956185311079025,0.2964336239674594,0.7641824968159199,0.75,0.75,0.75,0.4
1398.85,1398.85,1289.15,2303.85,0.2663743458688259,0.2674440499395132,0.23058327659964561,0.6659094374626875,0.85,0.8,0.8,0.55
1289.1,1207.0,1151.95,1042.3,0.21630007363091863,0.21653043177951758,0.20291976549196988,0.57136669754982,0.85,0.85,0.85,0.7
1508.5,1563.5,1261.7,1069.8,0.317528142593801,0.3208835432305932,0.27359065413475037,0.6659598387777805,0.8,0.7,0.7,0.5
987.35,822.85,877.65,740.55,0.21386140957474709,0.2136842180043459,0.2749985558912158,0.6403538845479488,0.9,0.9,0.85,0.6
1097.1,960.1,1014.9,740.6,0.41621143836528063,0.42222019098699093,0.40173807740211487,0.7192456424236298,0.8,0.65,0.65,0.44999999999999996
1124.5,932.45,6994.3,740.35,0.2406943659298122,0.24141137301921844,0.24327716697007418,0.7105975411832333,0.85,0.85,0.85,0.44999999999999996
1069.6,1097.1,1042.1,1426.25,0.35124354991785367,0.35139628256226274,0.3022715165861882,0.6953236721456051,0.7,0.7,0.75,0.5
1069.65,960.05,932.5,685.75,0.26097426004707813,0.2657399643212557,0.22508312109857798,0.7043330557644367,0.8,0.7,0.75,0.5
1014.9,905.05,905.05,713.25,0.32064978312700987,0.3213518522679806,0.29491883236914873,0.6491417400538921,0.65,0.65,0.65,0.55
1014.8,959.95,1261.85,740.5,0.32476605796136937,0.32506442944074365,0.2867181231849827,0.5766297671943903,0.7,0.7,0.75,0.65
1042.3,1097.1,905.2,713.15,0.384168179705739,0.39216610230505466,0.3150323638692498,0.7337396219372749,0.65,0.65,0.7,0.44999999999999996
987.35,905.1,795.35,768.0,0.2648118641227484,0.26650373078882694,0.2716166153550148,0.6240640431642532,0.8,0.8,0.8,0.6
1097.1,905.05,850.35,767.95,0.2912412043660879,0.29387965239584446,0.24883962515741587,0.7719077877700329,0.65,0.6,0.8,0.4
1014.9,932.65,932.7,795.7,0.36506824759271694,0.36660151933756424,0.2640089026244823,0.6077678874135017,0.7,0.7,0.7,0.6
1014.85,960.05,850.3,768.1,0.3201444425403679,0.32493228035534116,0.2704911796026863,0.6791203208267689,0.85,0.8,0.8,0.5
1014.95,960.0,905.2,713.25,0.27466577959967253,0.2811699703060526,0.2420345313148573,0.5410411022603512,0.95,0.85,0.8,0.7
987.45,932.75,960.0,795.45,0.5221194934565574,0.522855483694002,0.5307408465014305,0.7374909296631813,0.6,0.6,0.55,0.44999999999999996
1124.55,1152.0,1042.3,905.25,0.3520129807293415,0.3600171748548746,0.3247679164633155,0.6241586208343506,0.85,0.75,0.75,0.6
1069.6,1042.3,1014.85,685.55,0.36335888877511024,0.36656147986650467,0.29331546276807785,0.686522264033556,0.7,0.7,0.7,0.5
1151.95,959.85,1892.6,740.5,0.28021709959034524,0.28137846792603227,0.3138599069789052,0.6528758388012648,0.8,0.8,0.75,0.55
795.3,795.25,713.15,630.85,0.1981540946289897,0.19826113060116768,0.26575072575360537,0.5433050692081451,0.85,0.85,0.75,0.7
822.8,1124.6,658.35,905.3,0.37381587341224076,0.37452809269095155,0.3951509227626957,0.6780557744204998,0.7,0.7,0.7,0.5
630.75,713.3,603.15,438.8,0.3216873318888247,0.3316339533776045,0.32786579336971045,0.711802002042532,0.75,0.65,0.6,0.44999999999999996
603.45,576.0,603.35,411.45,0.41821559704840183,0.42489591240882874,0.423459779471159,0.7097484637051821,0.7,0.7,0.6,0.44999999999999996
713.15,603.3,630.7,466.3,0.4999779942445457,0.504327991977334,0.46757061313837767,0.7521303258836269,0.65,0.7,0.55,0.4
768.15,658.2,630.7,329.25,0.38701076805591583,0.3993579279631376,0.27508183009922504,0.7153021357953548,0.7,0.65,0.75,0.44999999999999996
685.65,658.3,603.3,466.4,0.2844596305524192,0.2852146079626152,0.34812170692021027,0.6517792195081711,0.85,0.85,0.75,0.55
548.5,521.1,631.05,493.65,0.17572506465808146,0.17776476720834467,0.16541782446438447,0.5704824887216091,0.95,0.95,0.95,0.65
685.8,630.85,521.05,383.95,0.2932906807400286,0.2995388079434633,0.3300506267696619,0.6889177486300468,0.8,0.75,0.7,0.5
520.95,521.2,576.0,521.25,0.1383112221956253,0.14429139159619808,0.13112155813723803,0.5046314839273691,0.85,0.85,0.9,0.75
630.9,603.35,575.9,411.4,0.3994513601064682,0.3991195149719715,0.4238222986459732,0.7614243626594543,0.6,0.6,0.6,0.4
630.8,576.0,548.75,466.1,0.22899865545332432,0.24435202591121197,0.30312160309404135,0.6142404675483704,0.9,0.75,0.65,0.6
658.25,658.4,630.85,438.95,0.5009021847508848,0.49917040206491947,0.4567975252866745,0.7696717716753483,0.44999999999999996,0.44999999999999996,0.55,0.4
521.1,521.15,630.95,493.65,0.2585457172244787,0.26443275809288025,0.2852758327499032,0.6075107641518116,0.8,0.75,0.7,0.6
603.35,603.5,548.45,438.85,0.27910584304481745,0.2857593782246113,0.21634296048432589,0.6406375225633383,0.75,0.75,0.75,0.55
631.0,630.95,576.15,411.45,0.4139776285737753,0.4231537189334631,0.3423949098214507,0.8099653609097004,0.55,0.5,0.65,0.35
603.25,685.7,658.25,438.8,0.3974572867155075,0.4103948911651969,0.3308763923123479,0.7575906030833721,0.65,0.6,0.65,0.4
713.2,575.8,631.0,466.0,0.42718400806188583,0.44242133386433125,0.3569295276829507,0.7528041377663612,0.6,0.5,0.55,0.4
576.0,603.55,630.8,493.75,0.40634901262819767,0.4070588294416666,0.3704996705055237,0.7615901902318001,0.65,0.65,0.75,0.4
685.65,630.8,658.25,466.35,0.5712056467309594,0.5769183207303286,0.6105943443253636,0.7196160275489092,0.6,0.55,0.44999999999999996,0.4
631.0,576.05,576.1,521.25,0.34293322265148163,0.3523445762693882,0.25970302429050207,0.7165193762630224,0.65,0.7,0.7,0.44999999999999996
630.8,658.1,603.3,438.6,0.35999121237546206,0.3612577747553587,0.3533417843282223,0.7254577800631523,0.65,0.65,0.65,0.44999999999999996
740.4,603.35,630.6,411.25,0.32128779186496104,0.32362187037730905,0.27154599834466353,0.682833980768919,0.7,0.75,0.75,0.5
686.1,658.15,603.65,356.45,0.471294853836298,0.4800096061080694,0.37120591299026273,0.8264257684350014,0.5,0.55,0.6,0.30000000000000004
767.9,685.7,521.0,466.45,0.31366877630352974,0.33129733614623547,0.31667153537273407,0.6521949619054794,0.75,0.6,0.65,0.55
685.75,713.25,576.05,466.4,0.39389059506356716,0.4064461197704077,0.3567078746855259,0.683327954262495,0.75,0.75,0.65,0.5
658.25,630.8,576.0,438.9,0.42388451415581585,0.43315192068482133,0.3930984442704357,0.7191473431885242,0.6,0.6,0.6,0.44999999999999996
658.2,603.6,548.6,521.1,0.38197441026568413,0.39376329630613327,0.3326014466583729,0.8018855284899473,0.65,0.6,0.7,0.35
685.65,575.85,685.7,466.3,0.4312651476075189,0.4340025655787656,0.3305011955671944,0.6842175722122192,0.7,0.7,0.75,0.5
603.55,685.6,658.3,466.4,0.24970265664160252,0.25933998078107834,0.2433377169072628,0.693521074950695,0.8,0.75,0.8,0.5
713.25,603.4,658.35,438.85,0.33798395842313766,0.3439346645027399,0.33123374450951815,0.6152300275862217,0.7,0.7,0.7,0.6
630.7,521.05,576.15,493.5,0.26476284489035606,0.26440172642469406,0.27363779954612255,0.6800359673798084,0.8,0.8,0.8,0.5
631.0,630.75,603.6,356.6,0.330287903547287,0.3337356187403202,0.3825419880449772,0.7651851810514927,0.75,0.75,0.7,0.4
740.7,740.65,713.25,466.3,0.47275095991790295,0.4819808527827263,0.46308340318500996,0.7940487004816532,0.6,0.7,0.6,0.35
658.0,630.9,685.75,493.45,0.3010285161435604,0.3030799850821495,0.31567762698978186,0.6049476936459541,0.75,0.75,0.75,0.6
713.1,631.0,630.75,548.65,0.3544255490414798,0.366711912676692,0.32967520225793123,0.7809915151447058,0.7,0.65,0.7,0.35
630.95,548.6,576.1,466.25,0.35156757198274136,0.3627455551177263,0.3155438369140029,0.7200466971844435,0.75,0.75,0.7,0.44999999999999996
630.6,603.4,548.4,438.85,0.2999002542346716,0.31169283390045166,0.30707664228975773,0.537589892745018,0.7,0.7,0.65,0.7
630.9,630.95,575.85,521.25,0.3026961162686348,0.3108927430585027,0.27367111947387457,0.7222348749637604,0.75,0.75,0.75,0.44999999999999996
658.15,603.15,658.25,493.7,0.42792904555062705,0.44737952437293416,0.3967681979993358,0.6025937758386135,0.65,0.6,0.5,0.6
740.65,630.9,713.2,521.2,0.32660399563610554,0.326948931440711,0.28998121712356806,0.6533372215926647,0.75,0.75,0.75,0.55
685.75,603.35,576.15,466.05,0.24917220417410135,0.2572691347450018,0.2813018299639225,0.6963298693299294,0.85,0.8,0.8,0.5
713.2,713.05,685.75,411.2,0.4741682782769203,0.49817865900695324,0.442157506942749,0.7132187206298113,0.6,0.6,0.44999999999999996,0.44999999999999996
740.7,630.8,658.35,493.65,0.43576120724901557,0.4473193734884262,0.44970809295773506,0.80264513194561,0.5,0.44999999999999996,0.55,0.35
713.2,740.6,630.75,521.0,0.5242017785349162,0.5297073312613065,0.464809801109368,0.6095055043697357,0.55,0.6,0.5,0.6
658.4,576.1,603.45,521.25,0.3925340353180218,0.3945433119174311,0.36251305282348767,0.640283141285181,0.65,0.65,0.7,0.55
740.45,685.65,603.25,466.45,0.3446259070187807,0.36707385536283255,0.3416025694459677,0.7638850286602974,0.75,0.65,0.7,0.4
685.75,575.75,603.7,466.15,0.2417728379368782,0.2592241372913122,0.2660449082031846,0.6423031389713287,0.8,0.75,0.7,0.55
603.3,576.1,575.95,466.25,0.27858311869204044,0.2885322514921427,0.27406679559499025,0.7187761683017015,0.8,0.75,0.75,0.44999999999999996
658.45,603.4,603.5,384.0,0.4045321214944124,0.41543020866811275,0.3326285518705845,0.7336220145225525,0.7,0.65,0.75,0.44999999999999996
740.5,713.3,603.4,411.45,0.3676106845960021,0.3876260407269001,0.32690668385475874,0.6845425255596638,0.8,0.7,0.75,0.5
905.3,822.9,822.75,575.95,0.4550845371559262,0.4850116241723299,0.4314052974805236,0.738464392721653,0.7,0.6,0.55,0.4
603.3,575.9,576.0,411.55,0.3560012177522367,0.36870098615551683,0.31469808385008946,0.6206863075494766,0.7,0.65,0.75,0.6
466.25,438.9,548.5,274.35,0.43005779664963484,0.4356574583798647,0.42834036611020565,0.6835364252328873,0.6,0.6,0.55,0.5
521.05,466.2,493.8,329.2,0.36351393489167094,0.38466257229447365,0.34917617216706276,0.788859074935317,0.75,0.7,0.7,0.35
576.0,356.6,411.45,274.25,0.29304690565913916,0.30525835510343313,0.3156901393085718,0.6425723824650049,0.8,0.8,0.7,0.55
493.55,438.7,521.3,301.8,0.33521875366568565,0.3521036449819803,0.28334000799804926,0.6861484013497829,0.75,0.7,0.75,0.5
603.25,521.05,493.8,329.25,0.3968287021953074,0.4223701519754002,0.28813594166422263,0.7155821304768324,0.7,0.65,0.65,0.44999999999999996
576.1,493.5,411.5,356.6,0.31652474077418447,0.3125688415020704,0.32512153312563896,0.6953938081860542,0.65,0.65,0.7,0.5
630.85,466.3,521.2,329.1,0.5008415579795837,0.46567330695688725,0.43819311633706093,0.721056055277586,0.65,0.6,0.55,0.44999999999999996
603.35,521.3,548.6,411.4,0.4028293862938881,0.4229676090180874,0.29934923350811005,0.6852980889379978,0.7,0.7,0.7,0.5
658.15,575.95,438.9,274.3,0.3120137993246317,0.3340266189115937,0.282355404982809,0.6973348557949066,0.85,0.8,0.8,0.5
466.25,466.2,466.3,329.2,0.26012780861128704,0.27026898671914523,0.21986628987360746,0.6511862929910421,0.85,0.85,0.8,0.55
548.45,493.85,438.85,384.05,0.416971692815423,0.4322843886911869,0.3568338034674525,0.7501326240599155,0.7,0.7,0.75,0.4
521.05,520.95,493.85,274.35,0.2930378448218107,0.31982126273214817,0.3079745825380087,0.6073275431990623,0.8,0.7,0.65,0.6
438.95,411.45,383.95,164.6,0.2427286459133029,0.2435703370720148,0.25383839942514896,0.6933220960199833,0.85,0.85,0.85,0.5
