timeAdapting,timeNonAdapting,timeOffline,quadraticAdapting,quadraticNonAdapting,quadraticOffline,correctAdapting,correctNonAdapting,correctOffline
7021.65,4745.1,4937.0,0.49278856348246336,0.4929063143208623,0.47150393668562174,0.6,0.6,0.65
3894.75,3702.8,3702.95,0.3293605549260974,0.32984733395278454,0.27361990604549646,0.85,0.85,0.85
20982.75,4196.4,3812.45,0.4546313404571265,0.45170699362643063,0.4129538428969681,0.7,0.7,0.75
3949.65,3126.75,51674.9,0.312297560274601,0.31184690445661545,0.32061722688376904,0.85,0.85,0.85
4388.45,4004.5,4059.5,0.3141501730523988,0.31406594230793417,0.2515732213469164,0.85,0.85,0.85
2550.8,2441.15,2688.05,0.264335751067847,0.26406274177134037,0.2461820598691702,0.75,0.75,0.75
2742.7,2742.85,2660.55,0.28851719200611115,0.28864916041493416,0.20679437462240458,0.9,0.9,0.9
2852.5,2660.55,2852.6,0.47542409785091877,0.4759763143956661,0.4227422885596752,0.7,0.7,0.75
3291.4,4772.55,16456.95,0.36543261632323265,0.3656382765620947,0.30436771930544637,0.75,0.75,0.75
68433.35,9901.6,2660.5,0.2658949352335185,0.26627983385697007,0.2363601119723171,0.85,0.85,0.9
1344.25,1344.0,1508.6,0.2133052791468799,0.21338256495073438,0.20990390283986926,0.85,0.85,0.85
1536.0,1343.85,3044.3,0.32265095692127943,0.32418349850922823,0.2750004604458809,0.8,0.8,0.8
1782.8,1837.7,3538.3,0.2157188868150115,0.21537950448691845,0.23780859541147947,0.85,0.85,0.85
1563.3,1508.6,1755.4,0.4319784287363291,0.43410449009388685,0.38906607404351234,0.8,0.8,0.8
1837.85,1919.85,1837.7,0.24940561945550144,0.24993242044001818,0.2469771415926516,0.9,0.9,0.9
1673.1,1673.05,1700.45,0.3490983120864257,0.3490338430274278,0.30466997413896024,0.7,0.7,0.7
2002.35,2002.3,1865.25,0.2767746509052813,0.2785680741071701,0.2633346416987479,0.85,0.85,0.85
1837.7,1755.35,1727.9,0.3235384507570416,0.32449163729324937,0.32746071298606694,0.7,0.7,0.7
1316.65,1316.6,1234.3,0.3205569239798933,0.3205888394732028,0.29835951956920326,0.7,0.7,0.7
2057.15,2002.15,1919.8,0.3938562568509951,0.39735211012884974,0.35420152987353504,0.75,0.75,0.7
4004.45,1728.2,1645.7,0.2804218961391598,0.2815091358497739,0.26855822978541255,0.75,0.75,0.8
1481.0,1453.7,1728.1,0.30474450532346964,0.3054875945672393,0.24588754028081894,0.65,0.65,0.8
1618.15,1755.45,1755.5,0.37425598222762346,0.37570403702557087,0.29100238261162303,0.7,0.7,0.7
1837.6,1810.2,1810.3,0.32004951022099704,0.3223919083829969,0.28319932939484715,0.85,0.85,0.85
1865.25,1700.45,13439.8,0.2994169092271477,0.3025562195107341,0.23765222472138703,0.85,0.85,0.85
2605.6,1645.6,1563.4,0.5337359915720299,0.5342972299549729,0.5143634398409631,0.5,0.5,0.55
4004.5,2057.3,2002.2,0.387621583417058,0.39172904286533594,0.32108957041054964,0.75,0.75,0.75
1865.1,1865.2,1727.95,0.3457258560229093,0.34856673842296004,0.29145689005963504,0.75,0.75,0.75
1371.55,1261.8,1316.65,0.28866170812398195,0.28919623233377934,0.2953443946316838,0.8,0.8,0.75
1453.55,1426.25,1426.15,0.2163158814655617,0.21637078328058124,0.2536750806029886,0.75,0.75,0.75
1590.85,1399.1,1700.5,0.33979492052458227,0.34036429575644433,0.36483458429574966,0.8,0.8,0.8
1700.45,1700.5,1645.85,0.3417665269225836,0.3457444692030549,0.3131344085559249,0.7,0.7,0.7
1755.25,1673.1,1919.95,0.4349785845261067,0.44098394038155675,0.4184012745972723,0.6,0.6,0.6
1536.0,1590.85,1700.45,0.48256815038621426,0.4868660345673561,0.4174444107338786,0.6,0.6,0.65
2852.6,1618.25,1508.45,0.3933863101992756,0.4016530648805201,0.3144321700092405,0.7,0.7,0.8
2084.35,2057.15,1919.95,0.3073813513619825,0.30725065735168755,0.3112292068544775,0.7,0.7,0.7
1755.3,1426.1,1371.35,0.18713730631861836,0.1889934299979359,0.18468575016595423,0.95,0.95,0.95
1453.8,1453.7,1453.65,0.3113940921612084,0.3137698136270046,0.3123088162392378,0.75,0.75,0.8
1563.55,6116.65,1645.7,0.13253929209895432,0.1340664247982204,0.13922708644531667,0.95,0.95,0.9
1097.25,1097.1,1481.15,0.39040079340338707,0.39023084565997124,0.42709914594888687,0.65,0.65,0.65
1590.65,1645.65,1645.6,0.24538554809987545,0.25036749243736267,0.26287173200398684,0.9,0.9,0.8
1974.95,1755.3,1700.65,0.4828760747332126,0.4822696913033724,0.4212465351447463,0.55,0.55,0.6
1563.35,1426.25,1371.35,0.24163537751883268,0.24368767905980349,0.2322827153839171,0.85,0.85,0.85
1536.2,1453.85,1426.3,0.29050334612838924,0.2969653489999473,0.2550109277945012,0.8,0.8,0.8
1481.1,1508.6,1755.5,0.4223136156797409,0.4278411101549864,0.3674236675724387,0.55,0.55,0.6
2111.85,1919.9,11876.35,0.40074340032879263,0.40974323684349656,0.3377509794663638,0.7,0.7,0.75
1673.0,1837.8,2194.3,0.42980216071009636,0.43733047135174274,0.32829342744662426,0.65,0.65,0.75
1206.75,1371.45,1316.6,0.4024062268435955,0.40286339074373245,0.38163578137755394,0.65,0.65,0.7
1343.85,1453.75,1673.2,0.5820750743150711,0.5864200973883271,0.5901029659435153,0.5,0.5,0.44999999999999996
1563.5,1371.25,1508.45,0.35080310702323914,0.35769976396113634,0.2718055732548237,0.75,0.75,0.8
1837.7,1837.85,1700.65,0.3621841324493289,0.3648706739768386,0.32317117555066943,0.7,0.7,0.75
1810.35,1755.55,1920.1,0.31854416453279555,0.32111295056529343,0.28746063564904034,0.75,0.75,0.75
1481.1,1289.15,1261.8,0.47893620282411575,0.4870348609983921,0.3973372337350156,0.55,0.55,0.65
2029.65,3428.65,1865.1,0.31581061508040875,0.3213690151460469,0.28871923102997243,0.75,0.75,0.75
1755.35,1728.0,1864.95,0.39078418095596135,0.39853335777297616,0.35398756316863,0.8,0.8,0.7
2057.25,1920.05,2084.55,0.4130821420383768,0.4202825438696891,0.41923119287457666,0.65,0.65,0.65
1590.85,1563.3,1673.15,0.39415604062378407,0.4017840512096882,0.3579392060637474,0.65,0.65,0.7
1645.8,5375.85,1700.3,0.44303934555500746,0.446592289255932,0.35426212451420724,0.7,0.7,0.75
1645.7,1755.4,1618.3,0.2664085195865482,0.27152147190645337,0.2603559473063797,0.8,0.8,0.8
1892.6,1892.55,1728.0,0.3552179515184264,0.36027637496590614,0.3376960437417438,0.65,0.65,0.7
1535.95,1398.85,1124.55,0.26792552694678307,0.2678973637521267,0.2875115927308798,0.8,0.8,0.8
1618.1,1837.6,1673.25,0.3327773418277502,0.3367039719596505,0.34668064676225185,0.8,0.8,0.8
2084.6,2002.35,2029.65,0.47012269543483853,0.47903876565396786,0.45337502658367157,0.65,0.65,0.7
1590.65,1618.2,1563.6,0.29187984205782413,0.29327535768970847,0.2973244038876146,0.75,0.75,0.8
1590.95,1453.65,1837.65,0.3569989022798836,0.36438711266964674,0.3415234675630927,0.7,0.7,0.7
1371.45,1316.55,1508.45,0.3329254910349846,0.34257907047867775,0.2940108668990433,0.8,0.8,0.8
1563.3,1481.15,1481.05,0.32166237314231694,0.3319617831148207,0.30931320949457586,0.65,0.65,0.65
1453.7,1371.45,1535.9,0.2982936464250088,0.30505692958831787,0.298477447591722,0.75,0.75,0.75
4580.5,2029.7,2221.65,0.4219713876955211,0.4327342654578388,0.41221100091934204,0.6,0.55,0.6
1618.15,1590.8,1398.8,0.34147988865152,0.3429208789020777,0.3090116963721812,0.75,0.75,0.75
1782.8,1645.65,1590.65,0.2721343555022031,0.2748682606033981,0.26674236892722547,0.8,0.8,0.85
2304.05,2687.85,2221.7,0.48674735240638256,0.508336266502738,0.4521079305559397,0.6,0.6,0.55
2715.45,2194.2,2221.6,0.4356545736081898,0.4426812161691487,0.4533850101288408,0.55,0.55,0.6
2468.55,2194.35,2221.75,0.5596692985855043,0.5693124197423458,0.46555741046904586,0.44999999999999996,0.44999999999999996,0.44999999999999996
1453.65,1563.5,1426.25,0.3734902731375769,0.3749251707922667,0.33677293080836535,0.7,0.7,0.75
1618.35,1673.4,2029.55,0.3512881747446954,0.3611723752692342,0.3429066422395408,0.75,0.75,0.7
1837.85,1782.8,1727.95,0.25788995483890176,0.26927172020077705,0.26424931874498725,0.8,0.8,0.8
1426.3,1398.85,1590.9,0.2778401804389432,0.2827990190126002,0.27771538379602134,0.85,0.85,0.85
17005.55,3894.7,4086.8,0.4184555932879448,0.42532265931367874,0.346792483702302,0.7,0.7,0.75
1810.2,1810.35,1864.95,0.39054064627271146,0.3981992360204458,0.3380208290182054,0.8,0.8,0.75
1316.65,1343.85,1316.55,0.4744777735322714,0.49216382671147585,0.4378084633499384,0.7,0.7,0.65
1892.65,3017.2,1700.55,0.34427973022684455,0.34876761795021594,0.29583647451363504,0.75,0.75,0.8
1453.8,1316.7,1426.25,0.4144408095162362,0.41907799197360873,0.38760804827325046,0.6,0.6,0.6
1508.45,1316.6,1563.5,0.3831981550902128,0.3986650323495269,0.3641549311578274,0.75,0.75,0.7
1234.35,1069.6,1398.85,0.3008617041632533,0.3106727646663785,0.3118103053420782,0.75,0.75,0.75
1096.9,1042.5,1042.35,0.3375139028066769,0.34588972898200154,0.3019423845689744,0.75,0.75,0.7
1590.85,1371.4,1563.45,0.400892254547216,0.41699135839007795,0.30182593083009124,0.7,0.7,0.7
1810.45,1618.15,1563.35,0.3197980441618711,0.3171284943819046,0.2981109884567559,0.65,0.65,0.8
1453.7,1371.35,1398.9,0.4692874476313591,0.47633112594485283,0.4176489543169737,0.65,0.65,0.65
1645.75,1563.4,1481.15,0.40844202460721135,0.42681995732709765,0.3545082800555974,0.75,0.75,0.75
1810.25,1645.75,1535.9,0.3416507374495268,0.3560293512418866,0.28480902104638517,0.85,0.85,0.85
1206.7,2550.85,1179.35,0.26324422913603485,0.2718079020269215,0.23186370870098472,0.85,0.85,0.85
1206.7,1151.9,1179.5,0.41690199822187424,0.43222169019281864,0.38233570847660303,0.75,0.75,0.8
1700.55,1673.0,1645.7,0.31170985533390194,0.32580104749649763,0.30484037986025214,0.85,0.85,0.8
1344.0,1261.7,1206.8,0.2545547839254141,0.25498963240534067,0.2518309876322746,0.85,0.85,0.85
1892.5,1700.45,1810.25,0.4253003285266459,0.4279731251299381,0.339508053380996,0.7,0.7,0.75
